"","user_id","status_id","created_at","screen_name","text","source","lon","lat","Full Address","statename"
"1","16368375","1104170765774024705",2019-03-09 00:03:19,"rexontheradio","When you just get over the flu and everyone else is sick at the station... @ Colorado Springs, Colorado https://t.co/0W4PW90ea9","Instagram",-104.8213634,38.8338816,"200 E Pikes Peak Ave, Colorado Springs, CO 80903, USA","Colorado"
"2","59567594","1104170634374983686",2019-03-09 00:02:48,"winterapple6","The flu sucks. I haven’t seen my kid since Sunday because she is with the twins everyday when I am at work, and we can’t have them exposed. 

I’m also missing one of my good friend’s bachelorette party. 

I missed 4 days of work. 

On the plus side, I’m thankful for my in-laws.","Twitter for iPhone",-97.092877,35.0077519,"38582 Patterson Rd, Wanette, OK 74878, USA","Oklahoma"
"4","3119605722","1104170449762545664",2019-03-09 00:02:04,"erinpyt","If anyone feels like making my day less shitty bc I have the flu and more bearable yoh can send me $100 to my Venmo: ess1818 cash app: erinsueanne2018 🤒❤️ dis would really help me out","Twitter for iPhone",-112.0740373,33.4483771,"22 W Washington St, Phoenix, AZ 85004, USA","Arizona"
"5","345221493","1104170404556492801",2019-03-09 00:01:53,"_JaciMarie_","On god I cry about Mac Miller at least once a week. I would suffer through this flu for 5 years if he could come back.","Twitter for iPhone",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"6","345221493","1103900270902145024",2019-03-08 06:08:28,"_JaciMarie_","This flu gotta go. My entire body feels like hot putty.","Twitter for iPhone",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"7","39882689","1104170223068999685",2019-03-09 00:01:10,"britemiller","THE FLU VACCINES ARE NOTHING BUT MONEY MAKERS.  IT PROTECTS ONE ONLY AGAINST 2 TPES OF FLUE AND THERE ARE SO MANY.  LOT OF PEOPLE HAE DIED AS A RESULT OF GETTING THEM https://t.co/nwjpryW94y","Twitter Web App",-83.7802214,42.5294773,"108 E Main St, Brighton, MI 48116, USA","Michigan"
"13","632072974","1104170049177309185",2019-03-09 00:00:28,"DiscountMedSup","Flu season may not have peaked,there's another wave of severe infections underway, CDC says.Flu activity remains high across the nation, and there's a 2nd wave of severe infections striking some states. https://t.co/zlXsRwO8Gn","Hootsuite Inc.",-80.0728201,26.4614625,"4 E Atlantic Ave, Delray Beach, FL 33444, USA","Florida"
"14","958445827877416961","1103808376767737856",2019-03-08 00:03:19,"Renovation_Tea","Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #herbal remedies! https://t.co/GCuqbKk0gY     #teatime #herbs #allergies #flu #cold https://t.co/PqCLzPpA1s","Postcron App",-94.3413168,34.0378916,"322 W Dequeen Ave, De Queen, AR 71832, USA","Arkansas"
"15","958445827877416961","1104170035520724992",2019-03-09 00:00:25,"Renovation_Tea","Don't go it alone!  Support a healthy immune system naturally with all #organic free radical fighting and detoxifying #herbal remedies! https://t.co/GCuqbKk0gY     #teatime #herbs #allergies #flu #cold https://t.co/Jp8kp0FStw","Postcron App",-94.3413168,34.0378916,"322 W Dequeen Ave, De Queen, AR 71832, USA","Arkansas"
"16","24263424","1104169987076444160",2019-03-09 00:00:14,"KABCRadio","#CDC: Flu activity remains high across the nation, and there's a second wave of severe infections striking some states. https://t.co/0KqL1aeuzd","Loomly",-118.2436849,34.0522342,"106 W 1st St, Los Angeles, CA 90012, USA","California"
