"","user_id","status_id","created_at","screen_name","text","source","lon","lat","Full Address","statename"
"2","227062548","1104163902844227584",2019-03-08 23:36:03,"RickardonSports","Looking like a hot night featuring @NyQuilDayQuil and Influenza Fever dreams interspersed with #LivePD on @AENetworks","Twitter for iPhone",-86.1180435,39.978371,"599 E Main St, Carmel, IN 46032, USA","Indiana"
"3","16550142","1104162382090326021",2019-03-08 23:30:00,"indystar","A more potent influenza strain is now circulating through Indiana and Indianapolis.
https://t.co/2PofV3HwDG","SocialNewsDesk",-86.158068,39.768403,"Intl Airport - Zone 1 Ground Transportation Center, Indianapolis, IN 46204, USA","Indiana"
"6","21150664","1104159863100329990",2019-03-08 23:20:00,"DrMarloArcher","Diet may be a key factor for Influenza A virus exposure in wild African mammals

https://t.co/9utzBCXbcv","TweetDeck",-111.9400054,33.4255104,"501 S Mill Ave, Tempe, AZ 85281, USA","Arizona"
"9","1122764647","1104158244551897088",2019-03-08 23:13:34,"erikmoldwarrior","@Spartan36Chris @microbeminded2 Chris. So we know the 1985 Tahoe flu was a type A influenza.  
Then we had the HHV6A on top of that.
This seems to fit with Dr Cheney's hypothesis of an ""activator virus"" https://t.co/1dFzeOsIGb","Twitter Web Client",-119.8138027,39.5296329,"354 N Virginia St, Reno, NV 89501, USA","Nevada"
"10","1122764647","1100877159768350720",2019-02-27 21:55:42,"erikmoldwarrior","@Spartan36Chris Notice a couple of things. Tahoe was not during a polio outbreak, there were no vaccinations, and the presence of immune dysfunction PRIOR to the Philippine type A influenza tell us we can not consider Tahoe to be ""A typical outbreak of ME""
It might be nothing of the kind.","Twitter Web Client",-119.8138027,39.5296329,"354 N Virginia St, Reno, NV 89501, USA","Nevada"
"23","906926615472390144","1104153865371308032",2019-03-08 22:56:10,"PaulHumpa","A small-molecule fusion inhibitor of influenza virus is orally active in mice https://t.co/ANqoivdqjo","Twitter for iPhone",-121.9552356,37.3541079,"1675 Lincoln St, Santa Clara, CA 95050, USA","California"
"24","415119193","1104153558193184770",2019-03-08 22:54:57,"rachelewebster","i’m gonna manifest all my powers to cure this influenza i’ve been stricken with","Twitter for iPhone",-79.0192997,35.7595731,"New Hope, NC, USA","North Carolina"
"25","818290926","1104152843748065281",2019-03-08 22:52:06,"BritneeHumphrey","In my 20 years of life I have never been diagnosed with the actual influenza until now🤦🏼‍♀️ #greatstartomyweekend #not","Twitter for iPhone",-87.71453,43.7508284,"833 Center Ave, Sheboygan, WI 53081, USA","Wisconsin"
"26","831633177181618176","1104152340075069440",2019-03-08 22:50:06,"CHCAlbany","About a decade ago, scientists discovered ""broadly neutralizing antibodies"" that target a sophisticated part of the influenza virus — a part that helps it pry open our cell membranes and infiltrate the cell.
https://t.co/ltVt0HIOkv","Hootsuite Inc.",-73.7562317,42.6525793,"Washington Ave & Hawk St - Capitol/Hawk Station, Albany, NY 12207, USA","New York"
"33","69361450","1104148569248940032",2019-03-08 22:35:07,"CIFSS","#OnThisDay in 1918 the latest football championships was played between Fullerton (18) and Coronado (0)!

Because of World War I and the Spanish influenza, people were banned from gathering in public at funerals, movie houses, theaters, schools, athletic contests, etc. https://t.co/KVCkMcENrc","Hootsuite Inc.",-118.0718894,33.8032009,"Katella-Los Alamitos, Los Alamitos, CA 90720, USA","California"
